,State,city,Zipcode,latitude,longitude,counts
15135,OR,Milwaukie,97222,45.430256,-122.645106,7
15142,CA,Banning,92220,33.9317483,-116.9459506,5
15147,WA,Bainbridge Island,98110,47.624921,-122.51934,5
15152,CA,Yosemite Valley,95386,37.745956,-119.574336,1
15153,CA,Hollywood,90028,34.09846,-118.332885,7
15160,OR,Independence,97351,44.865232,-123.183309,5
15165,CO,Kremmling,80459,40.059492,-106.392923,2
15167,WY,Riverton,82501,42.994756,-108.370846,3
15170,CO,Paonia,81428,38.855424,-107.614795,4
15174,CA,St. Helena,94574,38.509959,-122.456246,15
15189,CA,South Lake Tahoe,96150,38.933046,-119.971569,24
15213,CO,Winter Park,80482,39.917213,-105.785621,2
15215,CA,Hanford,93230,36.320443,-119.655306,15
15230,CA,Chowchilla,93610,37.124793,-120.248388,4
15234,CA,Madera,93638,36.977703,-120.074695,20
15254,CA,Oakhurst,93644,37.335923,-119.646151,9
15263,CA,Oakdale,95361,37.770686,-120.834766,6
15269,CA,Patterson,95363,37.463831,-121.123359,6
15275,CA,Turlock,95382,37.522473,-120.860467,11
15286,CA,Exeter,93221,36.297258,-119.140309,1
15287,CA,Porterville,93257,36.080904,-119.035353,6
15293,AZ,Maricopa,85139,33.0238,-112.0502,1
15294,CO,Parker,80138,39.548267,-104.770933,3
15297,UT,Jensen,84035,40.438174,-109.307043,1
15298,AZ,Prescott,86301,34.546055,-112.466839,6
15304,WA,Coulee City,99115,47.616684,-119.287843,1
15305,AZ,Ak-Chin Indian Community,85239,33.024706,-112.049351,2
15307,OR,Carlton,97111,45.313977,-123.100942,3
15310,CA,Compton,90220,33.870986,-118.243988,3
15313,CA,Coronado,92118,32.624534,-117.130306,18
15331,CA,Elk,95432,39.130281,-123.718758,3
15334,CA,Encinitas,92024,33.045052,-117.292178,6
15340,CA,Galt,95632,38.264827,-121.305544,3
15343,CA,Little River,95456,39.27641,-123.768462,6
15349,CA,Mendocino,95460,39.350629,-123.814654,8
15357,CA,Rancho Cordova,95670,38.589518,-121.285008,9
15366,CA,West Sacramento,95605,38.587558,-121.565487,14
15380,UT,South Jordan,84095,40.54929,-111.896981,8
15388,CO,Berthoud,80513,40.30339304,-105.1046104105,2
15390,CA,Stinson Beach,94970,37.896506,-122.639414,1
15391,CO,Frederick,80530,40.1023,-104.947547,3
15394,CA,Tahoe City,96145,39.166653,-120.14823,5
15399,CA,Novato,94949,38.057367,-122.514066,31
15430,CA,Mojave,93501,35.04482745606593,-118.1555302711639,11
15441,CA,Delano,93215,35.761418,-119.238878,6
15447,WY,Mammoth Hot Springs,82190,44.976458,-110.701949,2
15449,WA,Federal Way,98003,47.313989,-122.300707,10
15459,OR,Grants Pass,97526,42.43512,-123.306507,7
15466,CA,Yuba City,96001,39.142006,-121.614946,5
15471,CA,Marysville,95901,39.145498,-121.583959,7
15478,CA,Olivehurst,95961,39.10746,-121.564815,1
15479,CA,Walnut Creek,94597,37.919658,-122.063733,66
15545,CA,Lemoore,93245,36.292683,-119.780841,8
15553,OR,Woodburn,97071,45.150881,-122.878368,8
15561,ID,Pocatello,83201,42.861836,-112.442847,4
15565,ID,Hailey,83333,43.543153,-114.328756,7
15572,ID,Payette,83661,44.057043,-116.928333,2
15574,NV,Beatty,89003,36.9139,-116.754253,3
15577,OR,Halsey,97348,44.388672,-123.057072,2
15579,OR,Cottage Grove,97424,43.804346,-123.045188,4
15583,OR,McKenzie Bridge,97413,44.173131,-122.221159,1
15584,OR,Sisters,97759,44.297746,-121.562018,5
15589,OR,Detroit,97342,44.733181,-122.150001,2
15591,WA,Sultan,98294,47.862157,-121.816597,1
15592,OR,Astoria,97103,46.190172,-123.833328,3
15595,OR,Newberg,97132,45.30867,-122.941716,8
15603,OR,Florence,97439,43.976542,-124.087455,6
15609,OR,Scappoose,97056,45.741826,-122.877316,3
15612,OR,Mill City,97360,44.756895,-122.480022,6
15618,OR,Welches,97067,45.344393,-121.947981,2
15620,OR,Cascade Locks,97014,45.67071,-121.88823,1
15621,OR,Yachats,97498,44.312715,-124.105434,3
15624,OR,Elkton,97436,43.63635,-123.565872,1
15625,OR,Warm Springs,97761,44.76316,-121.25056,1
15626,OR,Reedsport,97467,43.697984,-124.112514,3
15629,OR,Monmouth,97361,44.846196,-123.229619,1
15630,WA,Cle Elum,98922,47.208469,-121.019582,4
15634,OR,Grand Ronde,97347,45.060267,-123.57813,1
15635,WA,Snoqualmie Pass,98068,47.42094,-121.4113,2
15637,OR,Veneta,97487,44.051007,-123.351922,1
15638,OR,Tillamook,97141,45.474795,-123.845554,10
15648,OR,Cannon Beach,97110,45.890201,-123.954666,7
15655,OR,Redmond,97756,44.26766,-121.17681,7
15662,OR,WESTPORT,97016,46.130686,-123.373559,1
15663,OR,Government Camp,97028,45.30191,-121.7733,1
15664,CA,Oak Glen,92399,34.039816,-116.941481,1
15665,OR,Dundee,97115,45.268997,-123.020986,5
15670,CO,Westminster,80021,39.878705,-105.097595,36
15706,OR,Madras,97741,44.630769,-121.131472,9
15715,CA,Brooks,95606,38.732886,-122.143539,2
15717,MT,Billings,59102,45.754983,-108.568626,6
15723,MT,Kalispell,59901,48.1634,-114.286926,4
15727,CA,Ceres,95307,37.598952,-120.972133,2
15729,CA,Laguna Hills,92656,33.590023,-117.730359,6
15735,CA,Coffee Creek,96091,41.08459428950268,-122.718496665329,2
15737,CA,Irwindale,91702,34.128551,-117.932122,3
15740,CA,Azusa,91702,34.095736,-117.890195,13
15753,CA,South San Francisco,94080,37.660128,-122.397626,170
15923,CA,Selma,93662,36.570975,-119.629736,9
15932,CO,Grand Lake,80447,40.249878,-105.817095,1
15933,WA,Pullman,99163,46.732394,-117.164374,8
15941,AZ,Flagstaff,86001,35.180212,-111.657953,24
15965,CO,Buena Vista,81211,38.841903,-106.130572,4
15969,WA,La Conner,98257,48.391109,-122.496837,1
15970,CO,Lafayette,80026,40.012107,-105.125443,17
15987,AZ,Holbrook,86025,34.79213,-109.891143,3
15990,OR,Port Orford,97465,42.74927,-124.497018,2
15992,OR,Brookings,97415,42.05418,-124.28892,1
15993,WA,Quincy,98848,47.235171,-119.853809,2
