Zipcode,Number of Stations,Population,Household Income,Total Commute Time,Average Commute Time,Total Vehicles,Average Vehicles per Household,latitude,longitude
93505,2,27548,98028,7580,1.802615933,6520,1.550535077,70.302866,-235.718716
93510,1,7644,105714,3124,1.197852761,2865,1.098542945,34.501106,-118.118778
93514,3,42525,191547,18135,3.038706434,14310,2.397788204,112.090526,-355.189804
93517,2,1282,144134,460,1.722846442,430,1.610486891,76.443466,-238.438322
93519,1,0,-666666666,0,0,-666666666,#NAME?,35.26583,-117.99917
93523,2,7112,125520,2562,2.206718346,2370,2.041343669,70.030831,-235.652893
93527,4,6236,273684,2204,3.241176471,2160,3.176470588,142.710102,-471.373475
93534,23,905441,955351,296746,20.95515853,271170,19.14907139,797.7598052,-2717.410335
93535,2,148528,93200,46856,2.196306365,42390,1.986969157,69.3739933,-235.9585983
93536,7,491659,559930,183064,8.543613198,166880,7.788304476,242.821346,-827.323219
93541,1,244,-666666666,89,0.536144578,0,0,37.962203,-119.121603
93545,1,1821,46875,651,0.843264249,455,0.589378238,36.6006,-118.0619
93546,5,47955,313735,29980,10.14895058,15025,5.086323629,188.23052,-594.913303
93549,1,293,59688,166,1.23880597,155,1.156716418,36.04731,-117.945662
93550,5,387530,229590,134850,6.258121403,115425,5.356645628,172.8917618,-590.5048605
93551,16,809616,1488880,341824,21.67421216,308960,19.59038742,553.582915,-1890.299701
93561,5,174895,321230,51880,4.442161144,47500,4.067129035,175.693983,-592.246804
93601,1,1674,67955,542,0.909395973,465,0.780201342,37.364482,-119.702683
93608,1,1280,38203,552,1.529085873,405,1.121883657,36.502236,-120.327699
93610,4,90896,216124,20908,4.439065817,17780,3.774946921,148.501675,-481.009034
93611,16,784848,1484976,340240,21.50287556,315680,19.95070467,589.3920542,-1915.134756
93612,32,1124480,1411360,475456,35.24245793,416800,30.89467052,1178.329011,-3830.670086
93614,1,11982,71047,3722,0.784074152,3240,0.682536339,37.2618,-119.7005
93622,5,51675,196450,15860,5.77147016,13275,4.830786026,183.855036,-602.616219
93623,2,228,216486,20,0.384615385,0,0,74.946805,-239.272016
93625,4,32236,219224,12580,5.017949741,11000,4.3877144,146.505072,-478.724036
93630,4,83056,197440,31164,5.800111669,27640,5.144239717,146.916067,-480.251968
93631,5,81410,342510,32505,6.03397067,30175,5.60144793,182.561893,-597.756353
93635,6,247080,375156,87168,7.597664081,76260,6.646910137,222.336953,-725.095589
93636,6,79530,503862,29682,6.926954492,27510,6.420070012,221.32097,-718.79449
93637,9,369972,508158,140841,11.39490291,125550,10.15776699,332.666032,-1080.622029
93638,5,249660,229055,86500,7.082037007,67475,5.524398232,184.902449,-600.317862
93640,13,167960,399776,46163,15.56405934,30420,10.25623736,477.729684,-1565.038446
93644,9,81495,465705,33345,9.369204833,31050,8.724360775,336.025041,-1076.900238
93646,4,46952,111044,15404,5.053805774,12380,4.06167979,146.56855,-477.247026
93648,3,48261,105630,19680,4.743311641,15930,3.839479393,109.832169,-358.628062
93650,2,6346,70880,2146,1.769167354,1710,1.409727947,73.688651,-239.605229
93654,5,151865,254515,55035,6.420321979,45475,5.305062996,182.944016,-597.22176
93657,8,285328,460800,115992,10.82014925,101680,9.485074627,293.8667489,-955.7146964
93660,2,8180,70678,2374,2.334316618,2120,2.084562439,73.211892,-240.372746
93662,9,276525,380772,105480,11.97683661,91215,10.3571023,329.102495,-1076.540263
93673,2,1508,88750,496,2.652406417,430,2.299465241,72.90615,-238.968561
93702,1,43601,27159,14277,1.193629295,11755,0.98277736,36.7588707,-119.7796076
93703,3,98262,100650,33948,3.428744571,29745,3.004241996,110.309606,-359.340843
93704,10,297400,601090,126730,11.18140109,113700,10.03176284,368.311153,-1198.080741
93705,1,36808,40516,12812,1.058580517,10860,0.897298191,36.771567,-119.836171
93706,13,527618,420225,150878,13.6838382,123175,11.17132233,477.253505,-1557.417367
93710,17,568616,877285,242301,21.56086492,201195,17.90309664,625.802878,-2036.021167
93711,13,494091,961090,219219,13.76225752,197340,12.38872497,478.95577,-1557.461544
93720,56,2636536,5021576,1237152,68.25666207,1152200,63.56965517,2063.643865,-6707.595582
93721,29,221850,827341,51852,25.51771654,43355,21.33612205,1065.371405,-3473.85851
93722,20,1692420,1180560,683520,27.02942107,616500,24.37915217,736.496827,-2397.418676
